HAPPINESS_RANK,HAPPINESS_SCORE,ECONOMY,FAMILY,FREEDOM,TRUST,GENEROSITY,DYSTOPIA
124.2,4.3466000176,0.45662224939999996,0.9471610371999999,0.3547822598,0.095382928,0.1846694544,2.3179817733333334
106.0,4.709000111,0.368420929,0.984136045,0.318697691,0.071095176,0.293040901,2.668459892
155.0,3.083,0.024,0.0,0.305,0.038,0.218,
155.0,2.693000078,0.0,0.0,0.270842046,0.056565076,0.280876487,2.066004753
144.0,3.763,0.42214,0.63178,0.12807,0.04952,0.18667,2.30637
137.0,3.936000109,0.438012987,0.953855872,0.162342027,0.053581882,0.21611385,2.071238041
139.0,3.916,0.55507,0.57576,0.40663,0.1553,0.20338,1.97478
128.0,4.332,0.99355,1.10464,0.49495,0.12474,0.10461,1.46181
91.0,5.155,0.689,1.172,0.462,0.032,0.201,
128.0,4.179999828,0.603048921,0.90478003,0.447706193,0.130061775,0.20123747,1.844964266
140.0,3.795000076,0.85842818,1.10441196,0.0,0.069720335,0.09792649,1.614482403
141.0,3.866,0.84731,0.66366,0.00589,0.08434,0.12071,2.09459
103.0,4.875,0.75216,0.64498,0.27854,0.0305,0.23219,2.88586
131.0,4.301,0.358,0.907,0.189,0.06,0.181,
95.0,5.073999882,0.783756256,1.215770483,0.394952565,0.026121566,0.230947196,2.365390539
148.0,3.678,0.0785,0.0,0.48879,0.08289,0.23835,2.7223
101.0,4.867,0.71206,1.07284,0.30658,0.0306,0.18259,2.48676
97.0,4.898,0.37545,1.04103,0.31767,0.12504,0.16388,2.79832
141.0,3.808,0.472,1.215,0.423,0.112,0.116,
107.0,4.671,0.541,0.872,0.467,0.103,0.146,
94.0,4.971,0.08308,1.02626,0.34037,0.15603,0.22269,3.05137
120.0,4.517,0.0,1.0012,0.22605,0.07625,0.24834,2.86712
155.0,3.083,0.026,0.0,0.225,0.035,0.235,
113.0,4.550000191,0.23430565,0.870701015,0.480791092,0.179436386,0.322228104,2.355650902
93.0,5.151000023,0.022643184,0.721151352,0.602126956,0.282410324,0.291631311,3.11748457
76.0,5.44,0.0,0.33613,0.56778,0.3118,0.27225,3.83772
98.0,4.982,0.0,0.712,0.674,0.282,0.238,
114.0,4.513,0.52497,0.62542,0.42736,0.06126,0.2268,2.5198
107.0,4.695000172,0.564305365,0.946018219,0.430388749,0.051306631,0.236298457,2.333645582
156.0,2.905,0.091,0.627,0.065,0.076,0.149,
149.0,3.667,0.34193,0.76062,0.23501,0.05269,0.18386,1.94296
154.0,2.904999971,0.091622569,0.629793584,0.059900753,0.084147945,0.204435185,1.683024168
151.0,3.655,0.46534,0.77115,0.46866,0.17922,0.20165,1.41723
118.0,4.447,0.37,1.233,0.367,0.056,0.139,
157.0,2.905,0.06831,0.23442,0.0432,0.09419,0.2029,2.10404
143.0,3.832,0.39394,0.18519,0.19662,0.13015,0.25899,2.50929
131.0,4.193,0.35041,0.71478,0.25429,0.08582,0.18503,2.4427
